date,umi
2017-01,0.94
2017-02,1.03
2017-03,1.14
2017-04,1.09
2017-05,1.05
2017-06,1.12
2017-07,1.12
2017-08,1.13
2017-09,0.97
2017-10,1.11
2017-11,0.97
2017-12,0.99
2018-01,0.81
2018-02,0.89
2018-03,0.81
2018-04,0.83
2018-05,0.93
2018-06,0.91
2018-07,0.99
2018-08,1.02
2018-09,1.08
2018-10,1.16
2018-11,1.08
2018-12,0.96
2019-01,1.02
2019-02,1.02
2019-03,1.02
2019-04,1.07
2019-05,1.09
2019-06,1.18
2019-07,1.17
2019-08,1.21
2019-09,1.26
2019-10,1.26
2019-11,1.16
2019-12,1.09
2020-01,0.89
2020-02,0.93
2020-03,0.91
2020-04,0.79
2020-05,0.68
2020-06,0.87
2020-07,0.76
2020-08,0.75
2020-09,0.73
2020-10,0.77
2020-11,0.72
2020-12,0.72
2021-01,0.6
2021-02,0.62
2021-03,0.56
2021-04,0.6
2021-05,0.74
2021-06,0.78
2021-07,0.83
2021-08,0.91
2021-09,0.97
2021-10,1.0
2021-11,1.0
2021-12,0.98
2022-01,0.98
2022-02,1.05
2022-03,0.97
2022-04,1.1
2022-05,1.14
2022-06,1.25
2022-07,1.34
2022-08,1.45
2022-09,1.5
2022-10,1.55
2022-11,1.51
2022-12,1.48
2023-01,1.44
2023-02,1.51
